CellID,20-22_m,22-23_m,Cck,Pcp4,Pvalb,Sst,Vip,centroidX,centroidY
40,0,0,0,0,0,0,0,1.179381e+04,1.594434e+03
75,0,0,1,0,0,0,0,1.154024e+04,1.797751e+03
91,0,0,0,0,0,0,1,1.153951e+04,1.870466e+03
105,0,0,1,0,0,0,0,1.151801e+04,1.955998e+03
214,0,0,2,0,0,0,0,1.375637e+04,1.640364e+03
224,0,0,1,0,0,0,0,1.367283e+04,1.700081e+03
229,0,0,1,0,0,0,0,1.380362e+04,1.700329e+03
234,0,0,1,0,0,0,0,1.337638e+04,1.722170e+03
237,0,0,1,0,0,0,0,1.364662e+04,1.732186e+03
239,0,0,0,0,0,1,0,1.331158e+04,1.740432e+03
240,0,0,1,0,0,0,6,1.343417e+04,1.719841e+03
242,0,0,1,0,0,0,0,1.353289e+04,1.740835e+03
247,0,0,0,1,0,0,0,1.373809e+04,1.749028e+03
251,0,0,0,0,0,4,0,1.353870e+04,1.783238e+03
252,0,0,0,0,0,1,0,1.358094e+04,1.782111e+03
256,0,1,0,1,6,0,0,1.380781e+04,1.796311e+03
260,0,0,1,0,0,0,0,1.335445e+04,1.795224e+03
261,0,0,5,0,0,0,0,1.347792e+04,1.811402e+03
262,0,0,1,0,0,0,0,1.369143e+04,1.815114e+03
264,0,0,1,0,0,0,0,1.332474e+04,1.834359e+03
265,0,0,1,0,0,0,0,1.339516e+04,1.831451e+03
267,0,0,0,0,0,0,1,1.354064e+04,1.836094e+03
270,0,0,0,0,0,0,2,1.272901e+04,1.840288e+03
271,0,0,0,1,0,0,0,1.214801e+04,1.833616e+03
273,0,0,2,0,0,0,0,1.362250e+04,1.835348e+03
276,0,0,1,0,0,0,0,1.307669e+04,1.849395e+03
277,0,0,2,0,0,0,0,1.326298e+04,1.856593e+03
282,0,0,1,0,0,0,0,1.319697e+04,1.861810e+03
285,0,0,0,0,0,0,3,1.297741e+04,1.871390e+03
289,0,0,1,0,0,0,0,1.366585e+04,1.886475e+03
290,0,0,0,0,2,0,0,1.303434e+04,1.891870e+03
291,0,0,1,0,0,0,0,1.356347e+04,1.890111e+03
295,0,0,1,0,0,0,0,1.331388e+04,1.888240e+03
296,0,0,0,0,0,0,3,1.240532e+04,1.894053e+03
299,0,0,2,0,0,0,0,1.311537e+04,1.905578e+03
303,0,0,1,0,0,0,0,1.375747e+04,1.906746e+03
306,0,0,1,0,0,0,0,1.345225e+04,1.922617e+03
308,0,0,0,0,0,0,2,1.295799e+04,1.928157e+03
313,0,0,1,0,0,0,0,1.334000e+04,1.949060e+03
319,0,0,0,0,0,0,2,1.314553e+04,1.938894e+03
320,0,0,1,0,0,0,0,1.217345e+04,1.953104e+03
322,0,0,0,0,0,0,4,1.328910e+04,1.971522e+03
323,0,0,0,0,0,0,1,1.355027e+04,1.970620e+03
324,0,0,0,0,0,0,2,1.296262e+04,1.974267e+03
329,0,0,1,0,0,0,0,1.361761e+04,1.980962e+03
400,0,0,0,0,0,1,0,1.540962e+04,1.577115e+03
406,0,0,1,0,0,0,0,1.419352e+04,1.595268e+03
413,0,0,1,0,0,0,0,1.407460e+04,1.641446e+03
414,0,0,0,0,1,0,0,1.426987e+04,1.628613e+03
425,0,0,1,0,0,0,1,1.451085e+04,1.671237e+03
426,0,0,2,0,0,0,0,1.439703e+04,1.666139e+03
427,0,0,1,0,0,0,0,1.432597e+04,1.670419e+03
433,0,0,1,0,0,0,0,1.445539e+04,1.679492e+03
434,0,0,3,0,0,0,0,1.410509e+04,1.687508e+03
435,0,1,0,0,0,0,0,1.415428e+04,1.694094e+03
437,0,0,2,0,0,0,0,1.423998e+04,1.679025e+03
438,0,0,0,1,0,0,0,1.437055e+04,1.706751e+03
440,0,0,1,0,0,0,0,1.460278e+04,1.709257e+03
449,1,0,1,0,0,0,0,1.419486e+04,1.712118e+03
450,0,0,2,0,0,0,0,1.483783e+04,1.717620e+03
468,0,0,1,0,0,0,0,1.432300e+04,1.747810e+03
472,0,0,1,0,0,0,0,1.493590e+04,1.764153e+03
483,0,0,0,0,1,0,0,1.468711e+04,1.784007e+03
484,1,0,2,0,0,0,0,1.434687e+04,1.787716e+03
489,0,0,0,0,0,0,0,1.500820e+04,1.775828e+03
490,0,0,1,0,0,0,0,1.431280e+04,1.820836e+03
491,0,0,2,0,0,0,0,1.404640e+04,1.811725e+03
494,0,0,1,0,0,0,0,1.424711e+04,1.817716e+03
497,0,0,2,0,0,0,0,1.437301e+04,1.834820e+03
500,0,0,2,1,0,0,0,1.459623e+04,1.832078e+03
502,0,0,2,0,0,0,0,1.513212e+04,1.838650e+03
504,0,0,0,0,1,0,0,1.449115e+04,1.846350e+03
506,0,0,2,0,0,0,0,1.521874e+04,1.834421e+03
507,0,0,1,0,0,0,0,1.441185e+04,1.857770e+03
515,0,0,1,0,0,0,0,1.421898e+04,1.866751e+03
517,0,0,1,0,0,0,0,1.503382e+04,1.863018e+03
518,0,0,0,0,0,0,1,1.529915e+04,1.870890e+03
520,0,0,1,0,0,0,0,1.481345e+04,1.871968e+03
